2026-06-30 18:37 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-26 00:07 UTC | ts-test-back | failure | 530 | Cloudflare error 530 — tunnel unreachable, Mac Mini likely off
2026-06-25 21:22 UTC | ts-test-front | failure | 530 | Cloudflare error 530 — tunnel unreachable, Mac Mini likely off
2026-06-25 21:22 UTC | ts-test-back | failure | 530 | Cloudflare error 530 — tunnel unreachable, Mac Mini likely off
2026-06-25 07:10 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 07:10 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 02:39 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 02:39 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 01:58 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 01:58 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 01:24 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 01:24 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 00:03 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-25 00:03 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-24 22:39 UTC | ts-test-front | failure | 502 | 
2026-06-24 22:39 UTC | ts-test-back | failure | 502 | 
2026-06-24 22:03 UTC | ts-test-front | failure | ??? | 
2026-06-24 22:03 UTC | ts-test-back | failure | ??? | 
2026-06-24 20:36 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-24 20:36 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-24 20:06 UTC | ts-test-front | success | 202 | listener accepted — verify write via pm2 logs
2026-06-24 20:06 UTC | ts-test-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-24 07:10 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-24 07:10 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 23:00 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 23:00 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 22:58 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 22:58 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 22:31 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 22:31 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 22:24 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 21:27 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 21:27 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 20:59 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 20:59 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 20:56 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 09:39 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 09:39 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 08:53 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 08:53 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 07:18 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 07:18 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 04:38 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 04:37 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 03:14 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 03:13 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 02:32 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-23 02:32 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:23 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:23 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:22 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 23:21 UTC | ts-toifood | failure | 404 | 
2026-06-22 23:21 UTC | ts-toifood-web | failure | 404 | 
2026-06-22 23:21 UTC | ts-toifood-back | failure | 404 | 
2026-06-22 21:12 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 21:12 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 21:11 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 08:05 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 08:05 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-22 08:05 UTC | ts-toifood-back | success | 202 | listener accepted — verify write via pm2 logs
2026-06-21 23:51 UTC | ts-toifood | success | 202 | listener accepted — verify write via pm2 logs
2026-06-21 23:51 UTC | ts-toifood-web | success | 202 | listener accepted — verify write via pm2 logs
2026-06-21 23:50 UTC | ts-toifood-back | success | 202 | listener accepted â€” verify write via pm2 logs
žée
